HD108236b	TIC-260647166
HD108236c	TIC-260647166
HD108236d	TIC-260647166
HD108236e	TIC-260647166
HD108236f	TIC-260647166
HD108341b	TIC-286896213
HD109246b	TIC-154549250
HD109271b	TIC-429301734
HD109271c	TIC-429301734
HD109749b	TIC-144289338
HD110082b	TIC-383390264
HD110113b	TIC-73228647
HD110113c	TIC-73228647
HD111232b	TIC-329649885
HD111591b	TIC-954124944
HD112640b	TIC-459217467
HD113337b	TIC-142350121
HD113538b	TIC-422214062
HD113538c	TIC-422214062
HD113996b	TIC-328997091
HD114386b	TIC-124306858
HD114613b	TIC-30293512
HD114729b	TIC-124401411
HD114762b	TIC-138172859
HD11506b	TIC-266680498
HD11506c	TIC-266680498
HD116029b	TIC-305837711
HD116029c	TIC-305837711
HD117207b	TIC-405501056
HD11755b	TIC-137121812
HD117618b	TIC-243194645
HD118203b	TIC-286923464
HD11964b	TIC-24978373
HD11964c	TIC-24978373
HD11977b	TIC-232074535
HD120084b	TIC-284181945
HD121504b	TIC-208844024
HD12484b	TIC-419940916
HD125390b	TIC-27354139
HD125595b	TIC-180030300
HD12648b	TIC-397288169
HD126525b	TIC-333459486
HD12661b	TIC-118268680
HD12661c	TIC-118268680
HD128356b	TIC-1056530200
HD129445b	TIC-258186667
HD131664b	TIC-402802683
HD13167b	TIC-72638232
HD13189b	TIC-63564248
HD132406b	TIC-309808219
HD132563b	TIC-284680749
HD133131Ab	TIC-440955228
HD133131Ac	TIC-440955228
HD133131Bb	TIC-440955225
HD134987b	TIC-61397572
HD134987c	TIC-61397572
HD136352b	TIC-136916387
HD136352c	TIC-136916387
HD136352d	TIC-136916387
HD136418b	TIC-1101862696
HD137388b	TIC-407090552
HD13808b	TIC-220022156
HD13808c	TIC-220022156
HD13908b	TIC-12906712
HD13908c	TIC-12906712
HD13931b	TIC-292851928
HD139357b	TIC-224312054
HD141399b	TIC-156067565
HD141399c	TIC-156067565
HD141399d	TIC-156067565
HD141399e	TIC-156067565
HD142b	TIC-389757979
HD142c	TIC-389757979
HD142022Ab	TIC-290493086
HD142415b	TIC-342041655
HD143105b	TIC-272783172
HD143361b	TIC-255480497
HD145457b	TIC-236339228
HD1461b	TIC-37748347
HD1461c	TIC-37748347
HD147018b	TIC-350083732
HD147018c	TIC-350083732
HD147379b	TIC-230073581
HD147513b	TIC-350673608
HD147873b	TIC-211080657
HD147873c	TIC-211080657
HD148156b	TIC-225317852
HD149026b	TIC-255930614
HD150706b	TIC-159511543
HD152079b	TIC-246835467
HD15337b	TIC-120896927
HD15337c	TIC-120896927
HD153950b	TIC-124165580
HD154345b	TIC-198562505
HD154672b	TIC-380086262
HD154857b	TIC-173552927
HD154857c	TIC-173552927
HD155358b	TIC-21897561
HD155358c	TIC-21897561
HD156279b	TIC-232606278
HD156279c	TIC-232606278
HD156411b	TIC-412409409
HD156668b	TIC-257715493
HD158038b	TIC-313709116
HD158259b	TIC-188768068
HD158259c	TIC-188768068
HD158259d	TIC-188768068
HD158259e	TIC-188768068
HD158259f	TIC-188768068
HD158996b	TIC-288268410
HD159868b	TIC-248320609
HD159868c	TIC-248320609
HD1605b	TIC-57983992
HD1605c	TIC-57983992
HD16175b	TIC-422922274
HD163607b	TIC-232620788
HD163607c	TIC-232620788
HD16417b	TIC-122555698
HD164595b	TIC-158917706
HD165155b	TIC-408229533
HD1666b	TIC-211439561
HD166724b	TIC-87989721
HD167042b	TIC-353988778
HD1690b	TIC-37763102
HD169830b	TIC-53134037
HD169830c	TIC-53134037
HD17092b	TIC-302317605
HD17156b	TIC-302773669
HD173416b	TIC-157951225
HD175167b	TIC-467966544
HD175607b	TIC-382073690
HD17674b	TIC-77490014
HD177565b	TIC-254147274
HD178911Bb	TIC-42812945
HD180053b	TIC-29898060
HD18015b	TIC-36883072
HD180314b	TIC-392658786
HD181433b	TIC-410399074
HD181433c	TIC-410399074
HD181433d	TIC-410399074
HD181720b	TIC-112243062
HD183579b	TIC-320004517
HD187085b	TIC-300081980
HD187123b	TIC-58559140
HD187123c	TIC-58559140
HD18742b	TIC-71345433
HD189733b	TIC-256364928
HD190647b	TIC-48777312
HD190984b	TIC-466222634
HD191806b	TIC-294684871
HD191939b	TIC-269701147
HD191939c	TIC-269701147
HD191939d	TIC-269701147
HD192310b	TIC-326096771
HD192310c	TIC-326096771
HD196050b	TIC-351534793
HD196067b	TIC-327303574
HD197037b	TIC-195382102
HD19994b	TIC-49845357
HD20003b	TIC-370137704
HD20003c	TIC-370137704
HD202696b	TIC-25346878
HD202696c	TIC-25346878
HD202772Ab	TIC-290131778
HD203030b	TIC-25559430
HD2039b	TIC-281461362
HD204313b	TIC-99734092
HD204313c	TIC-99734092
HD204941b	TIC-99837626
HD205739b	TIC-270501383
HD206255b	TIC-139842723
HD20781b	TIC-144503312
HD20781c	TIC-144503312
HD20781d	TIC-144503312
HD20781e	TIC-144503312
HD20782b	TIC-144503325
HD207832b	TIC-53895723
