#Name,#tic_id,#Per,#Per_err,#Ecc,#Ecc_err,#T0,#T0_err,#a/R*,#a/R*_err,#Rp/R*,#Rp/R*_err,#Teff,#M/H,#logg,#RA,#DEC,#Nos_of_stars,#sum
Kepler-526 b,TIC 273377282,5.45849832,9.07E-06,,,2455005.0888,0.00125,,,0.01583,0.00087,5894,0.34,4.38,297.6509281,47.3962246,1,4
Kepler-527 b,TIC 159642269,13.28535633,2.409E-05,,,2455002.8621,0.00143,,,0.01808,0.00029,6388,0.03,4.22,290.957913,47.4062673,1,4
Kepler-528 b,TIC 271877680,19.78297415,6.532E-05,,,2455010.72336,0.00247,,,0.01789,0.00049,5807,0.02,4.39,295.6848595,47.7480914,1,4
Kepler-530 b,TIC 48305629,39.30941904,4.834E-05,,,2455004.334643,0.000929,,,0.0312,0.00158,5697,-0.08,4.53,283.3402948,48.549062,2,6
Kepler-531 b,TIC 243272677,29.88485741,3.246E-05,,,2455006.194425,0.000896,,,0.0339,3E-05,4893,-0.03,4.58,286.5246582,48.6835481,1,2
Kepler-532 b,TIC 264507945,12.92491623,1.23E-05,,,2455003.785885,0.000701,,,0.02976,0.00229,5192,0,4.58,298.6609094,48.6063022,1,4
Kepler-533 b,TIC 26962715,28.51120525,2.321E-05,,,2455020.363548,0.000618,,,0.04318,0.00068,4758,0.01,4.61,293.6856893,48.8249915,1,4
Kepler-534 b,TIC 27847148,15.95994513,2.216E-05,,,2455004.52201,0.00107,,,0.02126,0.00037,5884,0.01,4.48,296.4185696,49.540148,1,4
Kepler-535 b,TIC 351192037,4.90332155,4.54E-06,,,2455005.900713,0.000768,,,0.01696,0.00026,6123,0.13,4.3,296.5666587,49.6961742,1,4
Kepler-536 b,TIC 28234096,1.8270823,4.4E-07,,,2455003.525764,0.000193,,,0.03199,0.00022,5524,0,4.51,297.7363605,49.637101,1,4
Kepler-537 b,TIC 267673013,3.24755522,5.26E-06,,,2455004.27746,0.00127,,,0.01312,0.00044,5763,0.23,4.47,289.8805804,51.2769907,1,2
Kepler-538 b,TIC 28227113,81.73778,0.00013,0.041,0.034,2455044.6789,0.001,87.5,1.5,0.02329,0.00039,5547,-0.03,4.51,297.4865503,49.6233975,2,4
Kepler-540 b,TIC 159452015,172.7049784,0.0005356,,,2455069.92338,0.00223,,,0.02294,0.00039,5946,-0.1,4.38,290.6249953,44.8737757,1,4
Kepler-541 b,TIC 138569175,5.08005848,1.338E-05,,,2455007.42776,0.00232,,,0.01474,0.00106,6166,0.07,3.96,294.1496529,38.458207,1,0
Kepler-542 b,TIC 137484431,13.14497566,3.491E-05,,,2455007.84561,0.00232,,,0.01647,7E-05,5526,0.02,4.5,292.2149697,38.5485469,1,1
Kepler-543 b,TIC 121123361,13.89961966,1.102E-05,,,2455015.865271,0.000626,,,0.03351,9E-05,4671,-0.19,4.63,287.2187273,38.8625366,1,2
Kepler-544 b,TIC 138571095,21.41616926,8.095E-05,,,2455009.25123,0.00304,,,0.01625,0.00043,6206,0.02,4.33,294.0290734,39.0517893,1,0
Kepler-545 b,TIC 122446089,13.24934059,2.104E-05,,,2455012.52075,0.00129,,,0.02342,0.0004,5882,0.03,4.39,290.5663221,40.6920756,1,2
Kepler-546 b,TIC 237158650,4.14702026,8.8E-07,,,2455003.326066,0.000171,,,0.05644,0.0005,5967,0.14,4.36,283.257573,40.9904095,1,4
Kepler-547 b,TIC 158171456,6.01038429,1.57E-06,,,2455007.084771,0.000207,,,0.0499,0.00015,4828,0.01,4.61,286.1185888,44.3452063,1,4
Kepler-548 b,TIC 269269546,4.45419434,3.8E-07,,,2455005.820206,6.9E-05,,,0.12221,0.00047,5535,0,4.5,299.9059167,45.4396103,1,4
Kepler-550 b,TIC 273376082,8.60010411,4.25E-06,,,2455005.528619,0.000356,,,0.04866,0.00042,5322,-0.02,4.55,297.7001786,47.8637046,1,4
Kepler-551 b,TIC 350812580,12.3764661,1.298E-05,,,2455012.404747,0.000797,,,0.04025,0.00331,4286,-0.09,4.66,285.485045,48.0543774,1,4
Kepler-552 b,TIC 417659456,5.26341577,2.9E-06,,,2455007.350788,0.000433,,,0.03453,1E-05,5863,0.01,4.42,290.7476903,48.2419838,1,4
Kepler-554 b,TIC 27843707,1.90220856,4.1E-07,,,2455003.44979,0.000174,,,0.04349,0.0003,5447,0.14,4.49,296.4068982,51.3581938,1,6
