#Name,#tic_id,#Per,#Per_err,#Ecc,#Ecc_err,#T0,#T0_err,#a/R*,#a/R*_err,#Rp/R*,#Rp/R*_err,#Teff,#M/H,#logg,#RA,#DEC,#Nos_of_stars,#sum
AU Mic b,TIC 441420236,8.46321,4E-05,0.1,0.17,2458330.39153,0.0007,19.1,1.8,0.0514,0.0013,3700,,,311.2911369,-31.34245,1,2
BD+20 594 b,TIC 26123781,41.6855,0.003,0,,,,55.8,3.3,,,5766,-0.15,4.5,53.6511231,20.5990205,1,0
CoRoT-1 b,TIC 36352297,1.5089557,6.4E-06,0,,2454159.4532,0.0001,4.92,0.08,0.1388,0.0021,5950,-0.3,4.25,102.0798591,-3.1021394,1,2
CoRoT-10 b,TIC 405010127,13.2406,0.0002,0.53,0.04,2454273.3436,0.0012,31.33,2.15,0.1269,0.0038,5075,0.26,4.65,291.0636813,0.7460143,1,0
CoRoT-11 b,TIC 110178537,2.99433,1.1E-05,0,,2454597.679,0.0003,6.89,0.08,0.107,0.0005,6440,-0.03,4.22,280.6872998,5.9376586,1,0
CoRoT-12 b,TIC 280210963,2.828042,1.3E-05,0.07,0.063,2454398.62707,0.00036,,,,,5675,0.16,4.38,100.7656871,-1.2964437,1,2
CoRoT-13 b,TIC 281909674,4.03519,3E-05,0,,2454790.8091,0.0006,10.81,0.32,0.0909,0.0014,5945,0.01,4.46,102.7211432,-5.0864557,1,2
CoRoT-14 b,TIC 282706928,1.51214,0.00013,0,,2454787.6694,0.0053,4.78,0.28,0.0925,0.0019,6035,0.05,4.35,103.4242023,-5.5360385,1,2
CoRoT-16 b,TIC 218299481,5.35227,0.0002,0.33,0.09,2454923.9138,0.0021,11.2,1.21,0.101,0.0046,5650,0.19,4.36,278.5246658,-6.0026026,1,0
CoRoT-17 b,TIC 218299312,3.7681,0.0003,0,,2454923.3093,0.0036,6.23,0.24,,,5740,0,4.4,278.699236,-6.612288,1,0
CoRoT-18 b,TIC 37168957,1.9000693,2.8E-06,0.08,,2455321.72412,0.00018,6.35,0.4,0.1341,0.0019,5440,-0.1,4.4,98.1724172,-0.0316045,1,2
CoRoT-19 b,TIC 42821097,3.89713,2E-05,0.047,0.045,2455257.44102,0.0006,6.7,0.1,0.0786,0.0004,6090,-0.02,4.07,97.0335983,-0.1707293,1,2
CoRoT-2 b,TIC 391958006,1.7429935,1E-06,0.0143,0.0077,2454237.53556,0.0002,,,,,5625,,,291.7770457,1.3836634,2,0
CoRoT-21 b,TIC 280420719,2.72474,0.00014,0,,2454399.0282,0.0009,4.6,0.26,0.067,0.0018,6200,0,3.7,101.0526207,-0.2991544,1,2
CoRoT-22 b,TIC 323094535,9.75598,0.00011,0.077,0.3,2454598.42014,0.00099,17.3,1.3,0.03927,0.0006,5939,0.17,4.36,280.6671392,6.2191669,1,0
CoRoT-23 b,TIC 108155949,3.6313,0.0001,0.16,0.02,2455308.939,0.001,6.85,0.6,0.0671,0.001,5900,0.05,4.3,279.7826586,4.3577516,1,0
CoRoT-25 b,TIC 130038122,4.86069,6E-05,0,,2454576.2156,0.0008,10.2,1.1,0.085,0.026,6040,-0.01,4.31,280.6296561,6.5138223,1,0
CoRoT-26 b,TIC 322388624,4.20474,5E-05,0,,2454573.6299,0.0008,6.28,0.01,0.0718,0.001,5590,0.01,3.99,279.7504991,6.9697828,1,0
CoRoT-27 b,TIC 416136788,3.57532,6E-05,0.065,,2455748.684,0.001,9.48,0.95,0.099,0.002,5900,-0.1,4.4,278.4958319,5.5383811,1,0
CoRoT-28 b,TIC 106352250,5.20851,0.00038,0.047,0.055,2455755.8466,0.0029,7.29,0.16,0.0551,0.0004,5150,0.15,3.6,278.6883216,5.5736911,1,0
CoRoT-29 b,TIC 370736259,2.85057,6E-06,0.082,0.081,2455753.115,0.001,9.22,0.19,0.1028,0.0043,5260,0.2,4.3,278.9020691,6.4795703,1,0
CoRoT-3 b,TIC 392353449,4.2568,5E-06,0,,2454283.1383,0.0003,7.8,0.4,0.0663,0.0009,6740,,4.22,292.0552827,0.1218359,1,0
CoRoT-30 b,TIC 320636129,9.06005,0.00024,0.007,0.031,2455665.5146,0.0012,21,1.4,0.114,0.0032,5650,0.02,4.4,277.6011767,6.8359338,1,0
CoRoT-31 b,TIC 250595183,4.62941,0.00075,0.02,0.16,2455843.9445,0.0044,7.2,2.9,0.0699,0.0076,5700,0,3.85,94.820735,-4.4222978,1,2
CoRoT-4 b,TIC 36440357,9.20205,0.00037,0,0.1,2454141.36416,0.00089,17.36,0.05,0.1047,0.0041,6190,,4.41,102.1946233,-0.6727861,1,2
CoRoT-5 b,TIC 234112540,4.0378962,1.9E-06,0.09,0.09,2454400.19885,0.0002,,,,,6100,-0.25,4.19,101.2772396,0.8152163,1,2
CoRoT-6 b,TIC 130502317,8.886593,4E-06,0.1,,2454595.6144,0.0002,17.94,0.33,0.1169,0.0009,6090,-0.2,4.43,281.0725563,6.6632062,1,0
CoRoT-8 b,TIC 391880567,6.21229,3E-05,0,,2454238.9743,0.0004,17.6,0.4,0.075,0.001,5080,0.3,4.58,291.5885696,1.4262972,1,0
CoRoT-9 b,TIC 130162252,95.272656,6.8E-05,0.133,0.042,2455365.52723,0.00037,89.9,5.9,0.11402,0.00095,5625,-0.01,4.54,280.7866461,6.2040783,2,0
CoRoTID 223977153 b,TIC 220323515,6.71837,1E-05,,,2455901.811,0.002,,,0.054,0.002,5970,0,4.67,100.1951714,9.2573953,1,2
DS Tuc A b,TIC 410214986,8.138268,1.1E-05,0,,2458332.30997,0.00026,20.35,0.29,0.05419,0.00024,5428,0,,354.9154673,-69.196043,2,9
EPIC 201170410.02,TIC 38116202,6.7987,0.0001,0,,2456813.1485,0.0006,,,0.034,0.0007,3648,-0.048,5,170.1408561,-4.8070039,1,1
EPIC 201238110 b,TIC 35019000,28.1656,0.0027,,,2456852.6572,0.0023,,,0.0458,0.0021,,,,179.7058532,-3.3894613,1,0
EPIC 201497682 b,TIC 301610040,2.13174,0.00022,,,2456850.0263,0.0028,,,0.0115,0.0008,,,,168.9366786,0.4880606,1,0
EPIC 201757695.02,TIC 380546118,2.0478,0.0001,0,,2456811.637,0.0008,,,0.0127,0.0002,4520,-0.003,4.66,173.9385102,4.6164303,1,0
EPIC 201841433 b,TIC 380583651,4.1698,0.0001,,,2456811.6359,0.0011,,,0.0152,0.0004,5053,0,4.59,175.206752,6.1348146,1,0
EPIC 206024342 b,TIC 75266189,4.50756,0.00062,,,2456899.1324,0.0026,,,0.0147,0.0012,,,,331.2771441,-14.1218019,1,0
EPIC 206032309 b,TIC 145752628,2.87814,0.00023,,,2456899.132,0.0017,,,0.0405,0.0024,,,,341.2404563,-13.9011223,1,0
EPIC 206042996 b,TIC 12785571,5.29711,0.00074,,,2456899.1227,0.0029,,,0.0294,0.0018,,,,337.5136198,-13.6101475,1,0
EPIC 206215704 b,TIC 38355468,2.25372,0.00047,,,2457010.0005,0.0009,,,0.0225,0.0022,,,,335.0949721,-9.5097112,1,0
EPIC 206317286 b,TIC 250956593,1.58252,0.00017,,,2457011.3327,0.0024,,,0.0133,0.0014,,,,337.6178427,-7.972456,1,0
EPIC 211822797 b,TIC 337632006,21.169861,0.001725,0.06,0.13597,2457165.577,0.002,48.67,2.04,0.03182,0.00102,4148.21,,,130.4102091,17.6399744,1,0
EPIC 211945201 b,TIC 243244680,19.49221,0.000666,,,2457158.82477,0.00086,35.63,6.71,0.0379,0.0025,6069,0.1,4.22,136.5741931,19.4020565,1,0
EPIC 212297394 b,TIC 287331845,2.28943,0.00019,,,2457261.4607,0.002,,,0.0162,0.001,,,,207.2061241,-17.6098985,1,0
EPIC 212424622 b,TIC 297146115,18.0983,0.006,,,2457263.2616,0.009,,,0.0148,0.0013,,,,202.3313765,-14.3594358,1,0
EPIC 212499991 b,TIC 297146957,34.885,0.011,,,2457280.6254,0.0081,,,0.0193,0.0016,,,,202.488752,-12.7347749,1,0
EPIC 212587672 b,TIC 771548,15.2841,0.0037,,,2457273.4906,0.0053,,,0.0108,0.0007,,,,205.4445125,-10.8625468,1,0
EPIC 246851721 b,TIC 411839167,6.180235,1.4E-05,,,2457865.11032,0.0001,9.8,0.17,0.0681,0.0025,6202,0.141,4.16,78.9198197,16.2786991,2,1
EPIC 248847494 b,TIC 392876254,3650,1280,0,,2457967.17,0.01,,,0.042,0.002,4898,-0.23,3.52,159.3890808,11.8427484,1,0
G 9-40 b,TIC 203214081,5.746007,6E-06,0,,2458497.77747,0.00032,27,5.4,0.0605,0.0026,3348,0.04,4.93,134.7188514,21.0747961,1,0
GJ 1214 b,TIC 467929202,1.58040456,1.6E-07,,,2455320.535733,2.1E-05,14,0.8,,,3026,0.39,4.94,258.8313991,4.9606795,1,0
GJ 1252 b,TIC 370133522,0.5182349,6.3E-06,0,,2458668.09739,0.00032,,,0.02802,0.0009,3458,0.1,,306.9286462,-56.4622865,1,4
HAT-P-1 b,TIC 346338552,4.46529976,5.5E-07,,,2453979.93202,0.00024,9.853,0.071,0.11802,0.00018,5980,0.13,4.36,344.4453632,38.674919,2,1
HAT-P-12 b,TIC 198108326,3.2130598,2.1E-06,0,,2454419.19556,0.0002,11.77,0.15,0.1406,0.0013,4650,-0.29,4.61,209.3886452,43.49331,1,6
HAT-P-14 b,TIC 101721385,4.62767,5E-06,0.11,0.01,,,8.9,0.36,,,6600,0.11,4.25,260.1161719,38.2421682,2,4
HAT-P-15 b,TIC 353459965,10.8635,2.7E-05,0.19,0.02,,,19.25,0.77,,,5568,0.22,4.38,66.248142,39.460602,1,1
HAT-P-16 b,TIC 191284318,2.77596,3E-06,0.036,0.004,2455027.59293,0.00031,7.17,0.28,0.1071,0.0014,6158,0.17,4.34,9.5730343,42.4630961,3,2
HAT-P-18 b,TIC 21744120,5.508023,6E-06,0.084,0.048,2454715.02174,0.0002,16.04,0.75,0.1365,0.0015,4803,0.1,4.57,256.346376,33.0123251,1,2
HAT-P-19 b,TIC 267650535,4.008778,6E-06,0.067,0.042,2455091.53417,0.00034,12.24,0.67,0.1418,0.002,4990,0.23,4.54,9.5165832,34.7114025,1,1
HAT-P-2 b,TIC 39903405,5.6335158,3.6E-06,0.5172,0.0019,,,,,,,6380,0.18,,245.1514324,41.0479601,1,4
HAT-P-20 b,TIC 26826078,2.875317,4E-06,0.015,0.005,2455080.92661,0.00021,11.17,0.29,0.1284,0.0016,4595,0.35,4.63,111.9164295,24.3361185,1,0
HAT-P-21 b,TIC 17993892,4.12448,7E-06,0.23,0.02,,,9.65,0.74,,,5588,0.01,4.33,171.2749348,41.0280207,1,2
HAT-P-22 b,TIC 252479260,3.21222,9E-06,0.02,0.01,,,8.58,0.39,,,5302,0.24,4.36,155.6814593,50.1287115,2,2
HAT-P-23 b,TIC 305243225,1.21288,2E-06,0.11,0.04,,,4.16,0.26,,,5905,0.15,4.33,306.1239076,16.7621462,1,0
HAT-P-24 b,TIC 440777904,3.35524,7E-06,0.07,0.02,,,7.61,0.41,,,6373,-0.16,4.27,108.8251171,14.2626064,2,2
HAT-P-25 b,TIC 35022727,3.65281514,7.6E-07,0.023,0.022,,,10.9,0.33,0.1269,0.0011,5519,0.294,4.52,48.4354731,25.1973548,1,1
HAT-P-26 b,TIC 420779000,4.23452,1.5E-05,0.12,0.06,,,13.09,1.19,,,5079,-0.04,4.56,213.1565508,4.0594175,1,0
HAT-P-27 b,TIC 461239485,3.039577,5E-06,0,,2455407.9088,0.0002,9.804,0.4,0.12,0.009,5316,0.3,4.53,222.7673221,5.9473626,2,0
HAT-P-28 b,TIC 53728859,3.257215,7E-06,0.051,0.033,2455417.59832,0.00053,8.43,0.57,0.113,0.0024,5680,0.12,4.36,13.0009159,34.728402,1,0
HAT-P-29 b,TIC 250707118,5.72319,4.9E-05,0.09,0.05,,,11.74,1.02,,,6087,0.21,4.34,33.1310921,51.7787754,2,2
HAT-P-3 b,TIC 311035838,2.8997,5.4E-05,0,,,,10.05,0.5,,,5185,0.27,4.56,206.0940142,48.028565,2,9
HAT-P-30 b,TIC 455135327,2.8106,5E-06,0.04,0.02,,,7.43,0.34,,,6304,0.13,4.36,123.9498431,5.8368669,2,2
HAT-P-31 b,TIC 320798691,5.00542,9.1E-05,0.25,0,,,9.7,1.62,,,6065,0.15,4.26,271.5376722,26.4266061,1,1
HAT-P-32 b,TIC 292152376,2.1500082,1.3E-07,0.159,0.051,2455867.402743,4.9E-05,5.344,0.04,0.14886,0.00056,6001,-0.16,4.22,31.0427614,46.6878512,2,2
HAT-P-33 b,TIC 239154970,3.47447,1E-06,0,,,,6.57,0.18,,,6446,0.05,4.15,113.1842383,33.8350214,2,1
HAT-P-34 b,TIC 278348461,5.452654,1.6E-05,0.432,0.029,2455431.59706,0.00055,,,,,6442,0.22,,303.1954355,18.1047776,1,1
HAT-P-35 b,TIC 455096220,3.646706,2.1E-05,0.02,,2455578.66158,0.0005,,,,,6096,0.11,,123.250703,4.7870288,3,2
HAT-P-36 b,TIC 373693175,1.32734683,4.8E-07,,,,,4.95,0.042,0.1199,0.0002,5620,,,188.2662048,44.9153672,1,2
HAT-P-37 b,TIC 267572272,2.797436,7E-06,0.058,0.038,2455642.14318,0.00029,9.32,0.42,0.1378,0.003,5500,,,284.2960393,51.2691212,1,4
HAT-P-38 b,TIC 285272237,4.640382,3.2E-05,0.067,0.047,2455863.11957,0.00035,12.17,1.04,0.0918,0.0016,5330,,,35.3834942,32.2460441,1,1
HAT-P-39 b,TIC 14770122,3.54387,5E-06,0,,2455208.75049,0.00041,6.74,0.25,0.0993,0.0025,6430,,,113.7582526,17.8300283,2,0
HAT-P-4 b,TIC 138294130,3.056536,,0,,,,6.04,0.03,0.082,0.00044,5860,,,229.99122,36.229545,2,1
HAT-P-40 b,TIC 199671901,4.45724,1E-05,0,,,,5.94,0.4,,,6080,0.22,3.93,335.5129199,45.4573423,1,1
HAT-P-41 b,TIC 398895470,2.69405,4E-06,0,,,,5.45,0.18,,,6390,0.21,4.14,297.3226523,4.6724124,2,0
HAT-P-42 b,TIC 270468559,4.641878,3.2E-05,0,,2455952.52603,0.00075,8.08,0.82,0.086,0.0033,5743,0.27,4.14,135.3443583,6.0970828,1,2
HAT-P-43 b,TIC 468987719,3.332687,1.5E-05,0,,2455997.37106,0.00032,8.64,0.12,0.1193,0.0018,5645,0.23,4.37,128.9256885,10.2065866,1,2
HAT-P-45 b,TIC 167227214,3.128992,2.1E-05,0.049,0.063,2455729.98612,0.00041,7.36,0.39,0.111,0.0021,6330,0.07,4.3,274.3732697,-3.3810594,1,0
HAT-P-46 b,TIC 104866616,4.463129,4.8E-05,0.123,0.12,2455701.33646,0.00047,8.86,0.89,0.0942,0.0017,6120,0.3,4.25,270.4441831,-2.97098,1,0
HAT-P-49 b,TIC 99224131,2.69155,6E-06,0,,,,5.15,0.31,,,6820,0.07,4.1,305.4413294,26.6926759,1,1
HAT-P-5 b,TIC 76419763,2.78849,2.5E-05,0,,,,7.53,0.34,,,5960,0.24,4.37,274.4055335,36.6214617,1,1
HAT-P-50 b,TIC 17746821,3.1220109,6.5E-06,0.115,,2456285.90993,0.00036,5.68,0.19,0.0782,0.0012,6280,-0.18,4.07,118.0634379,12.1393474,1,2
HAT-P-51 b,TIC 61205803,4.2180278,5.9E-06,0.123,,2456194.12204,0.0004,10.48,0.28,0.1278,0.002,5449,0.27,4.39,21.0651251,32.8107,1,1
HAT-P-52 b,TIC 436875934,2.7535953,9.4E-06,0.047,,2455852.10326,0.00041,8.89,0.49,0.1161,0.0027,5131,0.28,4.48,42.7217412,29.0222492,1,1
HAT-P-53 b,TIC 189380158,1.9616241,3.9E-06,0.134,,2455829.44781,0.00044,5.61,0.28,0.112,0.0019,5956,0,4.31,21.8711012,38.9681137,1,1
HAT-P-54 b,TIC 284326455,3.799847,1.4E-05,0.074,,2456299.3037,0.00024,14.34,0.22,0.1572,0.002,4390,-0.127,4.67,99.8979924,25.4824005,1,0
HAT-P-55 b,TIC 311408969,3.5852467,6.4E-06,0.139,,2456730.83468,0.00027,9.79,0.34,0.1202,0.0019,5808,-0.03,4.43,264.2735096,25.7311468,1,2
HAT-P-56 b,TIC 84339983,2.79083,5E-06,,,,,6.37,0.11,,,6566,0,3.39,100.8480137,27.2521823,1,0
HAT-P-57 b,TIC 317520667,2.4653,3E-06,0,,,,5.82,0.09,,,6330,-0.25,4.25,274.743418,10.5971968,3,0
HAT-P-6 b,TIC 176899385,3.85298,5E-06,0,,,,7.73,0.34,,,6570,-0.13,4.22,354.7740917,42.4659866,1,3
HAT-P-65 b,TIC 283419843,2.6054552,3.1E-06,0.304,,2456409.33263,0.00046,4.57,0.2,0.1045,0.0024,5835,0.1,3.98,315.9054895,11.9893675,1,0
HAT-P-66 b,TIC 137881699,2.972086,5.7E-06,0.09,,2457258.79907,0.00072,5.01,0.21,0.0872,0.0024,6002,0.035,3.99,150.5726262,53.9508237,1,2
HAT-P-67 b,TIC 198588220,4.8101025,4.3E-07,0,,2455961.38467,0.00076,5.691,0.057,0.0834,0.0017,6406,-0.08,3.85,256.6107279,44.7768849,2,4
HAT-P-68 b,TIC 63189173,2.29840551,5.2E-07,0.041,,2456614.20355,0.00014,9.6,0.185,0.1644,0.0015,4508,-0.059,4.62,118.4831501,23.9382192,1,0
HAT-P-69 b,TIC 379929661,4.7869491,1.8E-06,0,,2458495.78861,0.00072,7.32,0.16,0.08703,0.00075,7394,-0.069,4.11,130.5056385,3.7105662,1,2
HAT-P-7 b,TIC 424865156,2.20474,1.7E-05,0,,,,4.13,0.15,,,6389,0.26,4.07,292.24719,47.9695429,2,4
HAT-P-70 b,TIC 399870368,2.74432452,7.9E-07,0,,2458439.57519,0.00045,5.45,0.29,0.09887,0.00133,8450,-0.059,4.18,74.5523332,9.9979794,1,2
HAT-P-8 b,TIC 188876052,3.07634,4E-06,0,,,,6.13,0.29,,,6200,0.01,4.15,343.0414932,35.4471778,3,0
HAT-P-9 b,TIC 371234684,3.92281072,1.02E-06,0.084,0.052,2455484.913088,0.000386,8.5,0.34,0.10696,0.00086,6350,0.12,4.29,110.1685157,37.1405946,1,1
HATS-1 b,TIC 219698950,3.446459,4E-06,0.12,0.092,2455241.28722,0.00071,9.2,0.82,0.1288,0.002,5870,,,175.5252399,-23.3548451,1,1
HATS-10 b,TIC 126325985,3.312846,5.8E-06,0.501,,2456457.88193,0.00022,8.73,0.29,0.0903,0.0013,5880,0.15,4.39,294.3068385,-22.2044872,1,0
HATS-11 b,TIC 11439959,3.619188,2.8E-05,,,2457313.27367,0.00033,6.92,0.07,0.1071,0.0007,6563,0.03,4.19,289.4007603,-22.3900092,1,0
HATS-12 b,TIC 11270200,3.142702,5.3E-05,,,2457311.23876,0.00068,5.2,0.4,0.0606,0.0014,6357,-0.1,4.36,289.202402,-19.3559227,1,0
HATS-13 b,TIC 289793076,3.0440499,2.7E-06,0.181,,2456340.31705,0.00026,9.82,0.18,0.1402,0.0016,5523,0.05,4.52,316.9614798,-26.0967205,1,2
HATS-14 b,TIC 29344935,2.7667641,2.7E-06,0.142,,2456408.76462,0.00021,8.8,0.12,0.1145,0.0012,5346,0.33,4.48,313.2154754,-25.6873756,1,2
HATS-15 b,TIC 271898990,1.74748753,9.4E-07,0.126,,2456387.21161,0.00015,6.33,0.16,0.1229,0.0012,5311,0,4.45,311.0920041,-19.4375266,1,0
HATS-16 b,TIC 77044471,2.686502,1.1E-05,0,,2456824.79069,0.00076,6.5,0.7,0.1075,0.0037,5738,-0.1,4.24,358.5588439,-30.0130385,1,2
HATS-17 b,TIC 73717937,16.254611,7.3E-05,0.029,0.022,2457139.1672,0.0014,25.8,1.1,0.0726,0.0026,5846,0.3,4.42,192.1895676,-47.6136789,1,4
HATS-18 b,TIC 14614418,0.83784,4.7E-07,,,,,3.658,0.008,0.132,0.0004,5600,,,173.9574203,-29.1560639,1,1
HATS-2 b,TIC 413376180,1.354133,1E-06,0,,2455954.58576,9E-05,5.5,0.09,0.1335,0.001,5227,0.15,4.48,176.7388264,-22.5630097,1,1
HATS-22 b,TIC 14661418,4.7228124,5.2E-06,0.079,0.026,2457078.5803,0.00022,15.7,0.39,0.1426,0.0025,4803,0,4.64,174.0098693,-29.5433642,1,1
HATS-23 b,TIC 7088246,2.1605156,4.5E-06,0.114,,2457072.85266,0.0007,6.08,0.41,0.159,0.02,5780,0.28,4.33,286.36675,-50.0673496,1,1
HATS-24 b,TIC 380589029,1.3484978,9E-07,0,,2457948.709321,3.9E-05,4.561,0.027,0.12801,0.00017,6125,-0.229,4.37,268.8907069,-61.7474,1,2
HATS-25 b,TIC 437333618,4.2986432,4.5E-06,0.176,,2456870.36872,0.00051,10.03,0.62,0.1171,0.0026,5715,0.02,4.35,207.9076746,-23.7812403,1,1
HATS-26 b,TIC 315002523,3.3023881,7.6E-06,0.245,,2456867.4232,0.0012,5.01,0.27,0.0879,0.0055,6071,-0.02,3.94,144.9268593,-28.5856004,1,4
HATS-27 b,TIC 248111245,4.637038,1.4E-05,0.581,,2457029.3374,0.0011,7.55,0.42,0.0895,0.0043,6438,0.09,4.11,193.5524603,-46.5877159,1,4
HATS-28 b,TIC 6663331,3.1810781,3.9E-06,0.202,,2457034.283,0.00046,9.63,0.42,0.1331,0.0029,5498,0.01,4.48,284.3997616,-49.1385126,1,1
HATS-29 b,TIC 201604954,4.6058749,6.3E-06,0.158,,2457031.95618,0.00038,10.96,0.34,0.1201,0.0027,5670,0.16,4.39,285.0965172,-54.8933408,1,2
HATS-3 b,TIC 336732616,3.547851,5E-06,0,,2456155.96734,0.00014,7.42,0.12,0.1011,0.0006,6351,-0.157,4.22,312.4574879,-24.4286938,1,1
HATS-30 b,TIC 281459670,3.1743516,2.6E-06,0.096,,2456629.76156,0.00036,8.82,0.31,0.1137,0.0017,5943,0.06,4.42,5.618525,-59.9425892,2,12
HATS-31 b,TIC 9385460,3.37796,1.2E-05,0.233,,2456960.1476,0.0011,5.49,0.43,0.0908,0.0049,6050,0,4,191.7028214,-24.4273897,1,0
HATS-32 b,TIC 204317710,2.8126548,5.5E-06,0.471,,2456454.6252,0.0011,7.88,0.46,0.1171,0.0039,5700,0.39,4.4,346.0750861,-21.2720168,1,2
HATS-33 b,TIC 360742636,2.5495551,6.1E-06,0.08,,2456497.23181,0.0005,7.83,0.32,0.1237,0.008,5659,0.29,4.45,294.6336944,-55.3302692,1,4
HATS-34 b,TIC 355703913,2.1061607,4.7E-06,0.108,,2456634.85732,0.00075,6.96,0.34,0.15,0.014,5380,0.25,4.43,0.7744866,-62.4693167,1,9
HATS-35 b,TIC 339522221,1.8209993,1.6E-06,0.306,,2456981.80199,0.00041,4.79,0.11,0.1051,0.0012,6300,0.21,4.24,296.688442,-63.5656488,1,2
HATS-36 b,TIC 119262291,4.175186,3.3E-05,,,2457314.4631,0.00031,10.32,0.14,0.1077,0.001,5950,0.15,4.4,291.4787013,-23.2028183,1,0
HATS-37 A b,TIC 6036597,4.3315366,4.1E-06,0,,2458006.80145,0.0005,12.05,0.15,0.0707,0.0018,5326,0.051,4.48,199.80183,-22.9868431,2,1
HATS-38 b,TIC 168281028,4.375021,1E-05,0,,2457725.16042,0.00072,9.81,0.14,0.057,0.0012,5732,-0.102,4.3,154.2710615,-25.2762982,1,2
HATS-39 b,TIC 112604564,4.5776348,7.3E-06,0.275,,2457315.28338,0.00055,7.97,0.38,0.0993,0.0029,6572,0,4.16,112.4192251,-29.9379163,1,4
HATS-4 b,TIC 59843967,2.516729,2E-06,0.013,0.016,2455808.34095,0.00036,8.43,0.17,0.1132,0.0029,5403,0.43,4.51,94.1120914,-22.5468824,1,4
HATS-40 b,TIC 172598832,3.2642736,5.8E-06,0.312,,2456962.676,0.001,4.74,0.22,0.0716,0.0034,6460,0.01,3.92,100.5712467,-29.77678,1,6
HATS-41 b,TIC 53750200,4.193649,1.3E-05,0.38,0.11,2456795.724,0.0014,7.31,0.98,0.0798,0.0036,6424,0.47,4.14,103.5173558,-27.0504156,1,8
HATS-42 b,TIC 98283926,2.292102,2.1E-06,0.229,,2456768.60734,0.00069,5.36,0.39,0.0976,0.004,6060,0.22,4.2,108.4523991,-33.4373462,1,9
HATS-43 b,TIC 78055054,4.3888497,5.9E-06,0.173,0.089,2457636.08946,0.00025,13.04,0.68,0.1492,0.0017,5099,0.05,4.54,80.5382418,-30.9708179,1,9
HATS-44 b,TIC 32499655,2.7439004,3.2E-06,0.279,,2456931.11384,0.00061,9.24,0.38,0.129,0.01,5080,0.32,4.51,84.3267559,-27.9725758,1,8
HATS-45 b,TIC 4616072,4.1876244,5.6E-06,0.24,,2456731.19533,0.00073,9.02,0.39,0.1004,0.0042,6450,0.02,4.3,101.9942455,-21.9107112,1,6
HATS-46 b,TIC 281541555,4.7423729,4.9E-06,0.559,,2457376.68539,0.0006,13.55,0.45,0.1088,0.0027,5495,-0.06,4.54,6.7026401,-56.3161021,1,8
HATS-47 b,TIC 158297421,3.9228038,2.2E-06,0.088,,2457365.35804,0.00029,13.98,0.15,0.1746,0.0014,4512,-0.113,4.63,287.4844021,-49.6649424,1,2
HATS-48 A b,TIC 201642601,3.1316666,3.7E-06,0.162,,2457100.55022,0.00045,11.33,0.049,0.1148,0.002,4546,0.186,4.59,288.6720048,-59.5793505,2,4
HATS-49 b,TIC 281541545,4.1480467,3.7E-06,0.071,,2457105.1648,0.00054,13.91,0.11,0.1127,0.0015,4405,0.208,4.6,6.6135927,-56.3442798,1,8
HATS-5 b,TIC 139733308,4.763387,1E-05,0.019,0.019,2456273.79068,0.0001,13.38,0.34,0.1076,0.0004,5304,0.19,4.53,67.2228465,-21.4820568,1,4
HATS-50 b,TIC 301031110,3.8297015,4.6E-06,0.516,,2456870.34792,0.00068,9.72,0.44,0.1038,0.0025,5990,,4.41,300.4280761,-26.077564,1,0
HATS-51 b,TIC 53458803,3.3488702,3.9E-06,0.33,,2457042.00405,0.00058,6.94,0.74,0.101,0.0038,5758,,4.2,102.8474248,-29.0586551,1,8
HATS-52 b,TIC 19684256,1.36665436,9.4E-07,0.246,,2456929.03039,0.00033,5.14,0.22,0.1352,0.0028,6010,,4.45,140.0875894,-31.2692116,1,4
HATS-53 b,TIC 157266693,3.8537768,3.8E-06,0.33,,2457236.75653,0.00049,9.3,0.15,0.125,0.0028,5644,,4.34,176.628323,-33.8600764,1,2
HATS-54 b,TIC 363851359,2.5441828,4.3E-06,0.126,,2457780.01102,0.00089,6.15,0.16,0.0832,0.0025,5702,0.396,4.24,200.6348641,-44.6888393,1,2
HATS-55 b,TIC 114299824,4.2042001,3.3E-06,0.092,,2457413.13042,0.00051,10.33,0.086,0.1141,0.002,6214,0.108,4.41,114.2833819,-32.7554188,1,4
HATS-56 b,TIC 272213425,4.324799,2.7E-05,0.019,,2457788.0029,0.0012,5.902,0.085,0.0789,0.0018,6536,0.19,3.95,180.165072,-45.7994559,1,2
HATS-57 b,TIC 178289267,2.350621,1.3E-06,0.028,,2457778.49589,0.00025,7.82,0.12,0.1218,0.0023,5587,0.268,4.48,60.9482779,-19.0568182,1,6
HATS-58 A b,TIC 21113347,4.2180896,8.9E-06,0.168,,2457463.2999,0.0017,8.71,0.3,0.0786,0.0025,7175,,4.29,186.7873036,-48.9784105,2,0
HATS-6 b,TIC 33521996,3.3252725,2.1E-06,0,,2456643.74058,8.4E-05,13.65,0.15,0.17978,0.00077,3724,0.2,4.68,88.1468079,-19.0316268,1,4
HATS-60 b,TIC 145750719,3.560829,3.2E-05,0.191,,2458015.72358,0.00085,6.93,0.11,0.0811,0.0033,5688,0.335,4.15,341.3640336,-14.9917747,1,2
HATS-61 b,TIC 44745133,7.817953,2.4E-05,0.092,,2457673.0611,0.0014,10.23,0.14,0.0738,0.004,5542,0.247,4.03,61.6578005,-25.3496674,1,6
