				u1				u2
Claret(2017), PHOENIX - q method		-0.1325892171541695 +/- 0.01759233034079057		0.24270547215761612 +/- 0.02173420156880176
Claret(2017), PHOENIX - r method		-0.07172945815122556 +/- 0.01762779114466907		0.10705463380503599 +/- 0.02166510976157929
Claret(2017), ATLAS		-0.10115636535807151 +/- 0.0177443732408452		0.12848477889569898 +/- 0.02175370367117329
EJ(2015), PHOENIX		-0.05873990106778172 +/- 0.017735901864075594		0.1073159339080097 +/- 0.021831481687818562
EJ(2015), ATLAS			-0.09614599891647574 +/- 0.017582122770906285		0.14476273409692253 +/- 0.02144575428855231
