#
# RESULTS FROM OUR FITS
# ---------------------
#
# Below, you will find the results of our fits. Next to each of the paramerters there are "UE" and "DE" columns which represents the "Upper Errors" and "Down Errors" --- i.e., the upper and lower bands of the 68% credibility bands (1-sigma errors).
# Note there are some planets commented out --- these are planets for which the actual lightcurve SNR is very bad for some reason (probably blended targets).
#
# Planet        Depth   UE      DE      rp/rs   UE      DE      b       UE      DE      q1      UE      DE      q2      UE      DE      u1      UE      DE      u2      UE      DE      a/rs    UE      DE      t0              UE      DE      P               UE              DE              Sectors observed/fitted
K2-260b	        8959	311	318	0.0947	0.0016	0.0017	0.19	0.15	0.12	0.20	0.18	0.10	0.33	0.31	0.22	0.29	0.15	0.16	0.14	0.31	0.23	5.11	0.11	0.20	2459186.61999	0.00056	0.00057	2.6266658	0.0000016	0.0000015	32
TrES-3b	        29089	1999	1325	0.1706	0.0058	0.0039	0.846	0.030	0.025	0.38	0.31	0.23	0.40	0.32	0.26	0.45	0.41	0.30	0.11	0.35	0.33	5.82	0.12	0.13	2459034.474594	0.000092	0.000092	1.30618581	0.00000034	0.00000035	25,26
Qatar-10b	15758	378	371	0.1255	0.0015	0.0015	0.22	0.10	0.13	0.49	0.21	0.17	0.107	0.102	0.064	0.152	0.095	0.083	0.55	0.20	0.22	5.055	0.083	0.116	2459034.37308	0.00021	0.00020	1.6453196	0.0000066	0.0000066	24,25,26
WASP-144b	12724	667	915	0.1128	0.0029	0.0041	0.637	0.086	0.131	0.31	0.36	0.20	0.24	0.32	0.17	0.26	0.23	0.17	0.29	0.34	0.32	7.32	0.73	0.60	2459071.05883	0.00038	0.00037	2.2783153	0.0000013	0.0000013	28
HD221416b	772	198	136	0.0278	0.0034	0.0026	0.74	0.11	0.41	0.58	0.24	0.21	0.37	0.29	0.21	0.55	0.36	0.30	0.19	0.36	0.39	9.748	3.678	2.093	2459085.139	0.052	0.057	14.2769	0.0010	0.0011	2,29
WASP-182b	3685	243	190	0.0607	0.0020	0.0016	0.26	0.21	0.17	0.48	0.28	0.20	0.53	0.28	0.25	0.71	0.24	0.27	-0.04	0.40	0.30	10.57	0.41	0.87	2459045.26482	0.00063	0.00062	3.3769848	0.0000022	0.0000022	27
HAT-P-5b	12404	615	419	0.1114	0.0027	0.0019	0.28	0.16	0.17	0.41	0.29	0.21	0.22	0.24	0.13	0.29	0.15	0.15	0.36	0.31	0.33	7.80	0.23	0.40	2459021.22014	0.00027	0.00026	2.788491	0.000023	0.000023	26
WASP-15b	8797	174	224	0.09379	0.00093	0.00120	0.500	0.054	0.081	0.144	0.112	0.063	0.31	0.37	0.22	0.24	0.16	0.15	0.14	0.25	0.25	7.59	0.33	0.28	2458610.70116	0.00026	0.00026	3.7520998	0.0000092	0.0000093	11
WASP-73b	3365	62	71	0.05801	0.00053	0.00062	0.499	0.055	0.080	0.135	0.063	0.036	0.59	0.25	0.26	0.43	0.12	0.14	-0.07	0.21	0.15	5.24	0.23	0.19	2459059.30042	0.00049	0.00048	4.0872977	0.0000038	0.0000036	1,27
HD1397b	        2040	45	41	0.04517	0.00049	0.00046	0.140	0.123	0.088	0.138	0.038	0.026	0.83	0.11	0.17	0.605	0.064	0.077	-0.243	0.110	0.066	10.299	0.089	0.256	2458332.08300	0.00051	0.00053	11.53508	0.00050	0.00053	1
