#Name	Teff	log(g)	[M/H]	Vturb	Period	P+err	P-err	Tc	a/R*	a+err	a-err	Eccentricity	Omega	Rp/R*	r+err	r-err	Tcerr
WASP-62	6230	4.45	0.04	2.0	4.411953	0.000003	0.000003	2455855.39195	9.525	0.5	0.5	0	90	0.1116	0.001	0.001	0.00027
WASP-71	6050	3.944	0.15	2.0	2.903676	0.000005	0.000005	2455724.332	4.566	0.5	0.5	0	90	0.0640	0.001	0.001	0.0005
