WASP-61b	2459198.738477459	0.002588048264157839
WASP-130b	2458607.5861466574	0.0014652709282459062
HATS-13b	2459083.0060217096	0.0024339220397489834
WASP-156b	2459169.860937599	0.0040182398722762155
NGTS-4b	2459227.5293973684	0.01034376926007312
WASP-190b	2459098.1218422796	0.0012051682738390206
WASP-44b	2458393.8498749756	0.0004080432374675768
TOI-892b	2459208.921578894	0.005211046466475722
WASP-82b	2458449.7939189915	0.001755777036357249
TOI-540b	2459199.9248373476	0.0011879374765365535
WASP-22b	2458422.468085098	0.008188973922353848
TOI-905b	2458639.569486998	0.00020432431513036012
HAT-P-42b	2459252.9013689514	0.022898797446821665
WASP-62b	2459252.5943381693	0.0023556839128136423
HATS-3b	2458337.895711278	0.0030758369923133927
LTT9779b	2459112.2079001265	0.008870011823960156
K2-260b	2459186.6043045972	0.0009441235668670438
TrES-3b	2459034.4722634987	0.0013186786079908697
Qatar-10b	2459034.3709590873	0.004789818612971587
WASP-144b	2459071.059722982	0.0010971755762861676
HD221416b	2459085.1245387807	0.1862440661045648
WASP-182b	2459045.263548237	0.00099916639098077
HAT-P-5b	2459021.241557694	0.03233173744808736
WASP-15b	2458610.7015672163	0.01057672477532464
WASP-73b	2459059.2466674284	0.14426078792969155
HD1397b	2458332.0826040907	0.0006020060271653614
K2-115b	2459245.2377472906	0.03695536553793265
WASP-161b	2459238.365219754	0.001935670051297869
HATS-24b	2458667.4586501587	0.0004869183444229163
WASP-79b	2459196.6329237707	0.004108000135543144
XO-3b	2458828.659750146	0.15566152762874613
KELT-8b	2459021.3184149144	0.0799146577306816
HATS-42b	2459253.245841659	0.0023628842723798613
HAT-P-36b	2458912.7504226477	0.000817847288817898
KELT-1b	2458775.3200946166	0.03495203263143835
WASP-16b	2458610.541200111	0.01775214832100032
WASP-99b	2459141.5061859004	0.02038769853521246
HD2685b	2459085.1288952287	0.009171910316278098
WASP-121b	2459253.13037523	0.00042371951223929734
HAT-P-50b	2459251.820337562	0.006108008240290349
TOI-954b	2459156.271047831	0.0009998392305720803
HATS-27b	2458619.841442594	0.004898292839832534
WASP-93b	2458773.8408631952	0.0020179489560123755
HATS-41b	2459253.20229674	0.00777709854736781
HATS-29b	2458667.0417641746	0.0022472647154287992
HATS-60b	2459098.2156119086	0.009768896273605039
HAT-P-2b	2459006.9695492582	0.0023977168245976352
WASP-97b	2459112.048187963	0.0013055165224755412
HATS-45b	2459227.019479529	0.0034160403070664772
WASP-166b	2458524.4082055255	0.000877330972457791
HATS-63b	2459197.4339070925	0.0026119960813568116
HAT-P-31b	2459020.862346401	0.015736328774653637
TOI-1728b	2458853.748794454	0.00046789178073205497
L168-9b	2459082.841802559	0.09574729937144079
HATS-46b	2459112.3939106967	0.0018906051576480687
TOI-481b	2459245.150638791	0.0014560237606289687
LP714-47b	2459196.115335031	0.0005100637539557148
XO-7b	2459034.49057457	0.0017465767796945345
HATS-69b	2459046.0433799783	0.001233415918014119
TOI-824b	2458652.1403416484	0.00038195603774064527
HATS-14b	2459084.225527286	0.0026584144777005957
HAT-P-69b	2459237.765720737	0.0007779727188276998
HATS-7b	2458611.4930019607	0.003588977129933141
WASP-6b	2459110.267639418	0.0031757764719257146
WASP-66b	2458552.3410425284	0.004507588865298535
WASP-25b	2458580.518306897	0.0035684421892876747
WASP-43b	2458555.8081783196	0.0037626831957185353
GJ1252b	2459060.40126016	0.004778830430460247
KELT-12b	2459030.8984830114	0.012276194499452947
TOI-122b	2459080.668471517	0.0020440159929191654
HATS-57b	2459155.959793497	0.0008076651882620435
HATS-4b	2459226.0589613817	0.002754871446720971
HD332231b	2458729.6798724877	0.00038200741742658355
CoRoT-19b	2459224.71956878	0.02020165634830276
HATS-17b	2458618.3367310553	0.006797053336409409
HATS-71b	2459111.323004327	0.0004020926318966567
WASP-5b	2459111.0927553317	0.0064896210253619115
HATS-32b	2459109.771318035	0.005250734135160448
KELT-11b	2458553.7894956213	0.006816569058531708
CoRoT-13b	2459225.4823740767	0.03293854569814407
HATS-5b	2459198.5101336217	0.006176645890537666
NGTS-1b	2459226.9719013954	0.011348603486040837
WASP-153b	2459021.2643627394	0.004642528576441978
HATS-16b	2459097.571328102	0.009409176405677197
CoRoT-18b	2459226.366510498	0.0057575652804926995
WASP-135b	2459021.7214286453	0.0023424957988182195
HATS-39b	2459237.8900067247	0.0030633555382007308
HATS-70b	2459253.289728917	0.0020179945261399003
WASP-4b	2459112.6239453866	5.31158411875228e-05
TOI-837b	2458615.896906926	0.0005993427338082171
HATS-33b	2459059.534673387	0.006142193384963918
CoRoT-12b	2459211.9545113607	0.021838747799335177
HATS-55b	2459237.753264241	0.0015006096240363475
WASP-159b	2459196.5644742553	0.002921935517176079
TOI-169b	2459085.2721862877	0.00221676005179149
WASP-150b	2459034.6960523985	0.001046679065997634
WASP-119b	2459252.318978038	0.011106808031226547
WASP-48b	2459034.4467015276	0.00513713909195955
HATS-6b	2459227.477303523	0.0016115102267903873
HAT-P-21b	2458910.5453728777	0.006591071622975751
WASP-7b	2459043.704711464	0.002550658707180787
WASP-136b	2459097.7400180674	0.002886407228485275
HD219666b	2459083.708011629	0.07938409776751311
LHS3844b	2459085.3923070356	0.0031554283596355467
WASP-42b	2458579.7962361616	0.0006635302923294124
WASP-113b	2458982.1697597452	0.0016575977790014762
KELT-7b	2458827.4613170675	0.003666026008729071
WASP-141b	2459198.003640426	0.003271774018679255
KPS-1b	2458883.639788896	0.047769332683787996
HATS-47b	2459056.086469297	0.0009815880363500135
LHS1815b	2459250.483846969	0.0073612940501947685
