121-125  F5.3   ---    tc_lit_e [0.0/0.19] 1-sigma errors on predicted transit
                               time
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
HD221416b 0.0278 0.0034 0.0026  9.75 3.68 2.09 1085.13900 0.05200 0.05700 0.0285 0.0008 0.0008  8.97 0.27 0.27 1085.125 0.186
WASP-182b 0.0607 0.0020 0.0016 10.57 0.41 0.87 1045.26482 0.00063 0.00062 0.0652 0.0013 0.0013  8.30 1.90 1.90 1045.264 0.001
HAT-P-5b  0.1114 0.0027 0.0019  7.80 0.23 0.40 1021.22014 0.00027 0.00026 0.1106 0.0006 0.0006  7.53 0.34 0.34 1021.242 0.032
WASP-15b  0.0938 0.0009 0.0012  7.59 0.33 0.28  610.70116 0.00026 0.00026 0.0984 0.0007 0.0007  7.29 0.38 0.38  610.702 0.011
WASP-73b  0.0580 0.0005 0.0006  5.24 0.23 0.19 1059.30042 0.00049 0.00048 0.0570 0.0030 0.0030  5.75 0.39 0.39 1059.247 0.144
HD1397b   0.0452 0.0005 0.0005 10.30 0.09 0.26  332.08300 0.00051 0.00053 0.0451 0.0003 0.0003 10.10 0.24 0.24  332.083 0.001
K2-115b   0.1229 0.0043 0.0038 39.53 2.44 4.10 1245.27590 0.00150 0.00150 0.1255 0.0015 0.0015 38.68 1.91 1.91 1245.238 0.037
WASP-161b 0.0751 0.0009 0.0008  8.90 0.14 0.31 1238.22390 0.00044 0.00045 0.0671 0.0017 0.0017  8.49 0.13 0.13 1238.365 0.002
HATS-24b  0.1339 0.0016 0.0022  4.61 0.16 0.16  667.45842 0.00021 0.00022 0.1307 0.0030 0.0030  4.56 0.03 0.03  667.459 0.000
WASP-79b  0.1072 0.0004 0.0004  7.15 0.05 0.05 1196.64376 0.00010 0.00010 0.1067 0.0086 0.0086  7.03 0.36 0.36 1196.633 0.004
XO-3b     0.0888 0.0011 0.0011  7.09 0.24 0.23  828.64044 0.00031 0.00032 0.0882 0.0004 0.0004  4.95 0.18 0.18  828.660 0.156
KELT-8b   0.1115 0.0025 0.0024  6.96 0.21 0.17 1021.32978 0.00031 0.00029 0.1145 0.0026 0.0026  5.90 0.38 0.38 1021.318 0.080
HATS-42b  0.0990 0.0013 0.0013  6.03 0.09 0.14 1253.24737 0.00044 0.00043 0.0976 0.0040 0.0040  5.36 0.39 0.39 1253.246 0.002
HAT-P-36b 0.1224 0.0012 0.0013  4.82 0.06 0.09  912.75043 0.00013 0.00013 0.1199 0.0002 0.0002  4.95 0.04 0.04  912.750 0.001
KELT-1b   0.0775 0.0007 0.0009  3.43 0.15 0.09  775.27387 0.00014 0.00014 0.0774 0.0006 0.0006  3.60 0.04 0.04  775.320 0.035
WASP-16b  0.1144 0.0027 0.0022  8.84 0.33 0.30  610.54694 0.00023 0.00022 0.1079 0.0012 0.0012  9.52 0.57 0.57  610.541 0.018
WASP-99b  0.0678 0.0003 0.0003  8.71 0.04 0.10 1141.54851 0.00018 0.00018 0.0644 0.0049 0.0049  8.77 0.47 0.47 1141.506 0.020
HD2685b   0.0952 0.0003 0.0003  7.52 0.08 0.08 1085.13414 0.00012 0.00012 0.0947 0.0003 0.0003  7.70 0.07 0.07 1085.129 0.009
WASP-121b 0.1217 0.0003 0.0003  3.81 0.01 0.02 1253.12891 0.00004 0.00004 0.1245 0.0005 0.0005  3.75 0.02 0.02 1253.130 0.000
HAT-P-50b 0.0775 0.0012 0.0010  5.60 0.21 0.17 1251.81615 0.00043 0.00045 0.0782 0.0012 0.0012  5.68 0.19 0.19 1251.820 0.006
TOI-954b  0.0461 0.0011 0.0008  6.70 0.37 0.63 1156.27005 0.00054 0.00054 0.0462 0.0019 0.0019  5.63 0.18 0.18 1156.271 0.001
HATS-27b  0.0909 0.0032 0.0028  7.32 0.44 0.74  619.84560 0.00130 0.00140 0.0895 0.0043 0.0043  7.55 0.42 0.42  619.841 0.005
WASP-93b  0.1022 0.0058 0.0146  6.73 1.97 0.69  773.84697 0.00033 0.00033 0.0873 0.0025 0.0025  5.94 0.13 0.13  773.841 0.002
HATS-41b  0.0670 0.0061 0.0046 10.43 2.25 2.30 1253.21210 0.00110 0.00110 0.0798 0.0036 0.0036  7.31 0.98 0.98 1253.202 0.008
HATS-29b  0.1222 0.0059 0.0059 10.82 0.89 0.67  667.04483 0.00071 0.00069 0.1201 0.0027 0.0027 10.96 0.34 0.34  667.042 0.002
HATS-60b  0.0742 0.0017 0.0016  7.57 0.27 0.57 1098.20902 0.00076 0.00082 0.0811 0.0033 0.0033  6.93 0.11 0.11 1098.216 0.010
HAT-P-2b  0.0691 0.0004 0.0004  9.04 0.19 0.18 1006.93776 0.00033 0.00035 0.0678 0.0002 0.0002 10.28 0.12 0.12 1006.970 0.002
WASP-97b  0.1093 0.0007 0.0007  6.32 0.08 0.08 1112.04778 0.00009 0.00008 0.1098 0.0072 0.0072  6.72 0.28 0.28 1112.048 0.001
HATS-45b  0.0996 0.0030 0.0021 11.69 0.45 0.93 1227.01761 0.00060 0.00058 0.1004 0.0042 0.0042  9.02 0.39 0.39 1227.019 0.003
WASP-166b 0.0518 0.0009 0.0009 11.25 0.38 0.52  524.40848 0.00033 0.00031 0.0515 0.0011 0.0011 11.30 0.60 0.60  524.408 0.001
HATS-63b  0.1102 0.0047 0.0082  8.69 2.10 0.93 1197.43113 0.00068 0.00069 0.1159 0.0032 0.0032  8.09 0.12 0.12 1197.434 0.003
HAT-P-31b 0.0913 0.0015 0.0015  7.94 0.37 0.34 1020.83833 0.00066 0.00064 0.0800 0.0220 0.0220  9.70 1.62 1.62 1020.862 0.016
TOI-1728b 0.0709 0.0017 0.0025 12.50 1.37 1.16  853.74968 0.00031 0.00031 0.0740 0.0020 0.0020 13.48 0.20 0.20  853.749 0.000
L168-9b   0.0233 0.0007 0.0007  8.73 0.61 1.64 1082.85700 0.00040 0.00039 0.0212 0.0010 0.0010  7.61 0.31 0.31 1082.842 0.096
HATS-46b  0.1085 0.0029 0.0036 13.37 1.06 0.87 1112.39408 0.00057 0.00057 0.1088 0.0027 0.0027 13.55 0.45 0.45 1112.394 0.002
TOI-481b  0.0624 0.0004 0.0003 12.47 0.23 0.36 1245.15364 0.00027 0.00028 0.0614 0.0002 0.0002 12.57 0.20 0.20 1245.151 0.001
LP714-47b 0.0754 0.0021 0.0032 15.46 1.51 0.81 1196.11490 0.00031 0.00030 0.0751 0.0009 0.0009 15.90 1.00 1.00 1196.115 0.001
XO-7b     0.0941 0.0010 0.0007  6.08 0.12 0.11 1034.48817 0.00015 0.00015 0.0953 0.0009 0.0009  6.43 0.14 0.14 1034.491 0.002
HATS-69b  0.1032 0.0034 0.0028  7.53 0.28 0.59 1046.04132 0.00065 0.00063 0.1105 0.0023 0.0023  7.86 0.10 0.10 1046.043 0.001
TOI-824b  0.0459 0.0027 0.0054  5.54 2.57 0.70  652.14033 0.00047 0.00046 0.0387 0.0018 0.0018  6.73 0.22 0.22  652.140 0.000
HATS-14b  0.1195 0.0019 0.0023  8.58 0.49 0.54 1084.22029 0.00053 0.00052 0.1145 0.0012 0.0012  8.80 0.12 0.12 1084.226 0.003
HAT-P-69b 0.0849 0.0009 0.0008  7.68 0.19 0.25 1237.77170 0.00023 0.00023 0.0870 0.0008 0.0008  7.32 0.16 0.16 1237.766 0.001
HATS-7b   0.0669 0.0041 0.0034 10.12 1.20 2.22  611.49050 0.00130 0.00140 0.0711 0.0019 0.0019 10.59 0.51 0.51  611.493 0.004
WASP-6b   0.1453 0.0014 0.0020 10.81 0.21 0.18 1110.25922 0.00015 0.00014 0.1463 0.0012 0.0012 10.62 0.41 0.41 1110.268 0.003
WASP-66b  0.0815 0.0013 0.0013  7.33 0.25 0.50  552.34231 0.00068 0.00067 0.0819 0.0068 0.0068  6.73 0.37 0.37  552.341 0.005
WASP-25b  0.1410 0.0012 0.0014 11.20 0.25 0.22  580.52049 0.00014 0.00014 0.1387 0.0010 0.0010 11.10 0.52 0.52  580.518 0.004
WASP-43b  0.1615 0.0017 0.0025  4.72 0.05 0.05  555.80567 0.00005 0.00005 0.1594 0.0004 0.0004  4.84 0.02 0.02  555.808 0.004
GJ1252b   0.0276 0.0012 0.0009  5.02 0.36 0.83 1060.40646 0.00040 0.00033 0.0280 0.0009 0.0009  5.05 0.49 0.49 1060.401 0.005
KELT-12b  0.0711 0.0007 0.0009  6.46 0.30 0.26 1030.90211 0.00042 0.00042 0.0772 0.0019 0.0019  6.08 0.40 0.40 1030.898 0.012
TOI-122b  0.0757 0.0038 0.0037 31.04 3.54 6.02 1080.66878 0.00087 0.00107 0.0750 0.0030 0.0030 25.20 1.50 1.50 1080.668 0.002
HATS-57b  0.1226 0.0018 0.0021  7.58 0.27 0.27 1155.95828 0.00020 0.00019 0.1218 0.0023 0.0023  7.82 0.12 0.12 1155.960 0.001
HATS-4b   0.1195 0.0028 0.0023  8.19 0.30 0.46 1226.05611 0.00034 0.00033 0.1132 0.0029 0.0029  8.43 0.17 0.17 1226.059 0.003
HD332231b 0.0717 0.0005 0.0005 24.25 0.19 0.40  729.68068 0.00035 0.00036 0.0698 0.0004 0.0004 24.21 0.62 0.62  729.680 0.000
CoRoT-19b 0.0800 0.0018 0.0020  6.59 0.25 0.55 1224.72670 0.00160 0.00170 0.0786 0.0004 0.0004  6.70 0.10 0.10 1224.720 0.020
HATS-17b  0.0762 0.0029 0.0023 25.01 1.28 3.01  618.34470 0.00170 0.00180 0.0726 0.0026 0.0026 25.80 1.10 1.10  618.337 0.007
HATS-71b  0.2201 0.0026 0.0038 16.84 0.44 0.44 1111.32287 0.00022 0.00021 0.2202 0.0024 0.0024 16.84 0.15 0.15 1111.323 0.000
WASP-5b   0.1110 0.0009 0.0013  5.40 0.15 0.13 1111.09959 0.00015 0.00015 0.1108 0.0011 0.0011  5.37 0.15 0.15 1111.093 0.006
HATS-32b  0.1142 0.0029 0.0030  7.95 0.29 0.49 1109.77173 0.00087 0.00088 0.1171 0.0039 0.0039  7.88 0.46 0.46 1109.771 0.005
KELT-11b  0.0475 0.0006 0.0006  4.61 0.18 0.15  553.81381 0.00033 0.00033 0.0514 0.0032 0.0032  4.98 0.05 0.05  553.789 0.007
CoRoT-13b 0.1004 0.0071 0.0068 10.76 1.25 2.13 1225.37710 0.00340 0.00290 0.0909 0.0014 0.0014 10.81 0.32 0.32 1225.482 0.033
HATS-5b   0.1072 0.0021 0.0022 12.29 0.68 0.57 1198.51282 0.00035 0.00035 0.1076 0.0004 0.0004 13.38 0.34 0.34 1198.510 0.006
