Title: Empirical limb-darkening coefficients & transit parameters of known 
       exoplanets from TESS
Authors: Jayshil A. Patel and Nestor Espinoza
Table: Various stellar properties of our targets.
       The data was retrieved from the NASA Exoplanet Achieveon February 23, 
       2021.
================================================================================
Byte-by-byte Description of file: table.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
 1- 8  A8     ---    name    Name of the host star                         
10-15  F6.1   K      temp    [3036.0/8720.0] Effective temperature         
17-21  F5.3   ---    logg    [3.58/5.06] Surface gravity (in log cgs units)
23-28  F6.3   ---    mh      [-0.35/0.47] Metallicity                      
30-32  A3     ---    vturb   Microturbulent veocity                        
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
WASP-63  5550.0 4.010 0.080  ...
HAT-P-43 5645.0 4.370 0.230  ...
K2-261   5537.0 4.210 0.360  ...
HATS-2   5227.0 4.480 0.150  ...
WASP-117 6040.0 4.280 -0.110 ...
HAT-P-66 6002.0 3.990 0.035  ...
WASP-46  5600.0 4.490 -0.300 ...
Qatar-1  5013.0 4.550 0.171  ...
HATS-34  5380.0 4.430 0.250  ...
WASP-138 6272.0 4.250 -0.090 ...
WASP-29  4800.0 4.500 0.110  ...
WASP-131 6030.0 4.090 -0.180 ...
WASP-83  5510.0 4.440 0.290  ...
HATS-18  5600.0 4.440 0.280  ...
HATS-51  5758.0 4.200 0.000  ...
KELT-14  5720.0 4.170 0.320  ...
