Title: Empirical limb-darkening coefficients & transit parameters of 
       known exoplanets from TESS
Authors: Patel J.A., Espinoza N. 
Table: Various stellar properties of our targets. 
================================================================================
Byte-by-byte Description of file: datafile3.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---      Name      Name of the host star                         
  10- 15 F6.1   K        Teff      [3036.0/8720.0] Effective temperature (1)
  17- 22 F6.3   [-]      Fe/H      [-0.35/0.47] Metallicity (1) (2)
  24- 28 F5.3   [cm/s2]  logg      [3.58/5.06] Surface gravity (in log cgs units) (1)
  30-32  A3     ---      vturb     Microturbulent veocity                         
  34-54  A21    ---      temp-ref  Reference bibcode to the effecttive temperature
  56-76  A21    ---      [M/H]-ref Reference bibcode to the metallicity (2)           
  78-98  A21    ---      logg-ref  Reference bibcode to the  surface gravity      
--------------------------------------------------------------------------------
Note (1): The data of literature planetary parameters was extracted from the NASA
    Exoplanet Archive on February 23, 2021.
    (2): "-----" means that the metallicity for the source was not available. In 
    this case, we put "NONE" in the reference column.
--------------------------------------------------------------------------------
HATS-29  5670.0 0.160  4.390 ... 2016AJ....152..108E   2016AJ....152..108E   2016AJ....152..108E  
HATS-60  5688.0 0.335  4.150 ... 2019AJ....157...55H   2019AJ....157...55H   2019AJ....157...55H  
HAT-P-2  6380.0 0.180  4.160 ... 2018AJ....156..213M   2018AJ....156..213M   2017AJ....153..136S  
WASP-97  5640.0 0.230  4.450 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
HATS-45  6450.0 0.020  4.300 ... 2018AJ....155..112B   2018AJ....155..112B   2018AJ....155..112B  
WASP-166 6050.0 0.190  4.340 ... 2019MNRAS.488.3067H   2019MNRAS.488.3067H   2019MNRAS.488.3067H  
HATS-63  5627.0 0.081  4.350 ... 2019AJ....157...55H   2019AJ....157...55H   2019AJ....157...55H  
HAT-P-31 6065.0 0.150  4.260 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
TOI-1728 3980.0 0.250  4.660 ... 2020arXiv200614546K   2020arXiv200614546K   2020arXiv200614546K  
L168-9   3800.0 0.040  4.040 ... 2020A&A...636A..58A   2020A&A...636A..58A   2020A&A...636A..58A  
HATS-46  5495.0 -0.060 4.540 ... 2018AJ....155..112B   2018AJ....155..112B   2018AJ....155..112B  
TOI-481  5735.0 0.260  4.060 ... 2020AJ....160..235B   2020AJ....160..235B   2020AJ....160..235B  
LP714-47 3950.0 0.410  4.640 ... 2020arXiv201101716D   2020arXiv201101716D   2020arXiv201101716D  
XO-7     6250.0 0.432  4.250 ... 2020AJ....159...44C   2020AJ....159...44C   2020AJ....159...44C  
HATS-69  5137.0 0.377  4.500 ... 2019AJ....157...55H   2019AJ....157...55H   2019AJ....157...55H  
TOI-824  4600.0 -0.092 4.610 ... 2020AJ....160..153B   2020AJ....160..153B   2020AJ....160..153B  
HATS-14  5346.0 0.330  4.480 ... 2015A&A...580A..63M   2015A&A...580A..63M   2015A&A...580A..63M  
HAT-P-69 7394.0 -0.069 4.110 ... 2019AJ....158..141Z   2019AJ....158..141Z   2019AJ....158..141Z  
HATS-7   4985.0 0.250  4.540 ... 2015ApJ...813..111B   2015ApJ...813..111B   2015ApJ...813..111B  
WASP-6   5450.0 -0.200 4.600 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
WASP-66  6600.0 -0.310 4.300 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
WASP-25  5750.0 -0.050 4.500 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
WASP-43  4400.0 -0.010 4.490 ... 2011arXiv1104.2823H   2017A&A...601A..53E   2019AJ....158..138S  
GJ1252   3458.0 0.100  4.890 ... 2020ApJ...890L...7S   2020ApJ...890L...7S   ExoFOP-TESS          
KELT-12  6279.0 0.190  3.890 ... 2017AJ....153..178S   2017AJ....153..178S   2017AJ....153..178S  
TOI-122  3403.0 -----  4.880 ... 2021AJ....161...13W   NONE                  2021AJ....161...13W  
HATS-57  5587.0 0.268  4.480 ... 2019AJ....158...63E   2019AJ....158...63E   2019AJ....158...63E  
HATS-4   5403.0 0.430  4.510 ... 2014AJ....148...29J   2014AJ....148...29J   2014AJ....148...29J  
HD332231 6089.0 0.036  4.280 ... 2020AJ....159..241D   2020AJ....159..241D   2020AJ....159..241D  
CoRoT-19 6090.0 -0.020 4.070 ... 2012A%26A...537A.136G 2012A%26A...537A.136G 2012A%26A...537A.136G
HATS-17  5846.0 0.300  4.420 ... 2016AJ....151...89B   2016AJ....151...89B   2016AJ....151...89B  
HATS-71  3405.0 0.170  4.770 ... 2020AJ....159..267B   2020AJ....159..267B   2020AJ....159..267B  
WASP-5   5700.0 0.090  4.390 ... 2009A&A...496..259G   2009A&A...496..259G   2009A&A...496..259G  
HATS-32  5700.0 0.390  4.400 ... 2016AJ....152..161D   2016AJ....152..161D   2016AJ....152..161D  
KELT-11  5375.0 0.170  3.700 ... 2017AJ....154...25B   2017AJ....154...25B   2017AJ....154...25B  
CoRoT-13 5945.0 0.010  4.460 ... 2010A%26A...522A.110C 2010A%26A...522A.110C 2010A%26A...522A.110C
HATS-5   5304.0 0.190  4.530 ... 2014AJ....147..144Z   2014AJ....147..144Z   2014AJ....147..144Z  
NGTS-1   3916.0 0.000  4.710 ... 2018MNRAS.475.4467B   2018MNRAS.475.4467B   2018MNRAS.475.4467B  
WASP-153 5914.0 0.340  4.100 ... 2018A&A...610A..63D   2018A&A...610A..63D   2018A&A...610A..63D  
HATS-16  5738.0 -0.100 4.240 ... 2016PASP..128g4401C   2016PASP..128g4401C   2016PASP..128g4401C  
CoRoT-18 5440.0 -0.100 4.400 ... 2011A%26A...533A.130H 2011A%26A...533A.130H 2011A%26A...533A.130H
WASP-135 5675.0 0.020  4.470 ... 2016PASP..128b4401S   2016PASP..128b4401S   2016PASP..128b4401S  
HATS-39  6572.0 0.000  4.160 ... 2018MNRAS.477.3406B   2018MNRAS.477.3406B   2018MNRAS.477.3406B  
HATS-70  7930.0 0.041  4.170 ... 2019AJ....157...31Z   2019AJ....157...31Z   2019AJ....157...31Z  
WASP-4   5400.0 -0.070 4.470 ... 2019AJ....157..217B   2019AJ....157..217B   2019AJ....157..217B  
TOI-837  6047.0 -0.069 4.470 ... 2020arXiv200907845B   2020arXiv200907845B   2020arXiv200907845B  
HATS-33  5659.0 0.290  4.450 ... 2016AJ....152..161D   2016AJ....152..161D   2016AJ....152..161D  
CoRoT-12 5675.0 0.160  4.380 ... 2010A%26A...520A..97G 2010A%26A...520A..97G 2010A%26A...520A..97G
HATS-55  6214.0 0.108  4.410 ... 2019AJ....158...63E   2019AJ....158...63E   2019AJ....158...63E  
WASP-159 6120.0 0.220  3.940 ... 2019MNRAS.482.1379H   2019MNRAS.482.1379H   2019MNRAS.482.1379H  
TOI-169  5880.0 0.240  4.280 ... 2020arXiv200305932N   2020arXiv200305932N   2020arXiv200305932N  
WASP-150 6218.0 0.156  4.150 ... 2020AJ....159..255C   2020AJ....159..255C   2020AJ....159..255C  
WASP-119 5650.0 0.140  4.260 ... 2016A&A...591A..55M   2016A&A...591A..55M   2016A&A...591A..55M  
WASP-48  5920.0 -0.120 4.030 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
HATS-6   3724.0 0.200  4.680 ... 2015AJ....149..166H   2015AJ....149..166H   2015AJ....149..166H  
HAT-P-21 5588.0 0.010  4.330 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
WASP-7   6400.0 0.000  4.230 ... 2011A%26A...527A...8S 2011A%26A...527A...8S 2011A%26A...527A...8S
WASP-136 6260.0 -0.180 3.900 ... 2017A&A...599A...3L   2017A&A...599A...3L   2017A&A...599A...3L  
HD219666 5527.0 0.040  4.400 ... 2019A&A...623A.165E   2019A&A...623A.165E   2019A&A...623A.165E  
LHS3844  3036.0 -----  5.060 ... 2019ApJ...871L..24V   NONE                  2019ApJ...871L..24V  
WASP-42  5315.0 0.290  4.510 ... 2016MNRAS.457.4205S   2016MNRAS.457.4205S   2016MNRAS.457.4205S  
WASP-113 5890.0 0.100  4.200 ... 2016A&A...593A.113B   2016A&A...593A.113B   2016A&A...593A.113B  
KELT-7   6768.0 0.000  4.500 ... 2017AJ....153..136S   2017AJ....153..136S   2017AJ....153..136S  
