Title: Empirical limb-darkening coefficients & transit parameters of known
       exoplanets from TESS
Authors: Jayshil A. Patel and Néstor Espinoza
Table: Retrieved planetary parameters along with their literature values.
================================================================================
Byte-by-byte Description of file: planetary_ascii_updated.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
  1-  9  A9     ---    name    Name of the planet
 11- 19  F9.0   ---    tic     TIC id of the planet
 21- 26  F6.4   ---    Rp/R*   [0.02/0.23] Rp/R* retrieved from this work
 28- 33  F6.4   ---    Rp/R*_u [0.0/0.03] Upper 68% credibility band on Rp/R*
 35- 40  F6.4   ---    Rp/R*_l [0.0/0.03] Lower 68% credibility band on Rp/R*
 42- 46  F5.2   ---    a/R*    [3.42/39.53] a/R* retrieved from this work
 48- 51  F4.2   ---    a/R*_u  [0.01/4.68] Upper 68% credibility band on a/R*
 53- 56  F4.2   ---    a/R*_l  [0.01/7.84] Lower 68% credibility band on a/R*
 58- 70  F13.5  d      tc      [2458332.08/2459253.41] Transit time (in BJD)
                              from this work
 72- 78  F7.5   d      tcep    [0.0/0.06] Upper 68% credibility band on transit
                              time
 80- 86  F7.5   d      tcen    [0.0/0.06] Lower 68% credibility band on transit
                              time
 88- 92  F5.3   ---    b       [0.09/0.94] b retrieved from this work
 94- 98  F5.3   ---    b_u     [0.0/0.33] Upper 68% credibility band on b
100-104  F5.3   ---    b_l     [0.0/0.41] Lower 68% credibility band on b
106-115  F10.7  d      P       [0.46/20.28] period retrieved from this work
117-125  F9.7   d      P_u     [0.0/0.01] Upper 68% credibility band on period
127-135  F9.7   d      P_l     [0.0/0.01] Lower 68% credibility band on period
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
WASP-15b  111991770 0.0938 0.0009 0.0012  7.59 0.33 0.28 2458610.70116 0.00026 0.00026 0.500 0.054 0.081  3.7520998 0.0000092 0.0000093
WASP-73b  231670397 0.0580 0.0005 0.0006  5.24 0.23 0.19 2459059.30042 0.00049 0.00048 0.499 0.055 0.080  4.0872977 0.0000038 0.0000036
HD1397b   394137592 0.0452 0.0005 0.0005 10.30 0.09 0.26 2458332.08300 0.00051 0.00053 0.140 0.123 0.088 11.5350800 0.0005000 0.0005300
K2-115b     7020254 0.1229 0.0043 0.0038 39.53 2.44 4.10 2459245.27590 0.00150 0.00150 0.340 0.210 0.220 20.2730170 0.0000600 0.0000590
WASP-161b  50712784 0.0751 0.0009 0.0008  8.90 0.14 0.31 2459238.22390 0.00044 0.00045 0.180 0.150 0.110  5.4060425 0.0000044 0.0000046
HATS-24b  380589029 0.1339 0.0016 0.0022  4.61 0.16 0.16 2458667.45842 0.00021 0.00022 0.349 0.086 0.152  1.3484978 0.0000008 0.0000009
WASP-79b  170634116 0.1072 0.0004 0.0004  7.15 0.05 0.05 2459196.64376 0.00010 0.00010 0.556 0.009 0.010  3.6623907 0.0000007 0.0000006
XO-3b       8400842 0.0888 0.0011 0.0011  7.09 0.24 0.23 2458828.64044 0.00031 0.00032 0.696 0.028 0.033  3.1915610 0.0000780 0.0000760
KELT-8b   358516596 0.1115 0.0025 0.0024  6.96 0.21 0.17 2459021.32978 0.00031 0.00029 0.614 0.028 0.040  3.2440440 0.0001010 0.0000920
HATS-42b   98283926 0.0990 0.0013 0.0013  6.03 0.09 0.14 2459253.24737 0.00044 0.00043 0.145 0.117 0.094  2.2921020 0.0000019 0.0000019
HAT-P-36b 373693175 0.1224 0.0012 0.0013  4.82 0.06 0.09 2458912.75043 0.00013 0.00013 0.147 0.111 0.094  1.3273468 0.0000004 0.0000004
KELT-1b   432549364 0.0775 0.0007 0.0009  3.43 0.15 0.09 2458775.27387 0.00014 0.00014 0.413 0.057 0.134  1.2175163 0.0000103 0.0000097
WASP-16b   46096489 0.1144 0.0027 0.0022  8.84 0.33 0.30 2458610.54694 0.00023 0.00022 0.810 0.023 0.026  3.1185980 0.0000140 0.0000130
WASP-99b  166836920 0.0678 0.0003 0.0003  8.71 0.04 0.10 2459141.54851 0.00018 0.00018 0.100 0.085 0.065  5.7525835 0.0000024 0.0000022
HD2685b   267263253 0.0952 0.0003 0.0003  7.52 0.08 0.08 2459085.13414 0.00012 0.00012 0.258 0.037 0.047  4.1269047 0.0000009 0.0000009
WASP-121b  22529346 0.1217 0.0003 0.0003  3.81 0.01 0.02 2459253.12891 0.00004 0.00004 0.091 0.052 0.057  1.2749250 0.0000001 0.0000001
HAT-P-50b  17746821 0.0775 0.0012 0.0010  5.60 0.21 0.17 2459251.81615 0.00043 0.00045 0.650 0.031 0.035  3.1220157 0.0000020 0.0000016
TOI-954b   44792534 0.0461 0.0011 0.0008  6.70 0.37 0.63 2459156.27005 0.00054 0.00054 0.360 0.180 0.200  3.6849729 0.0000026 0.0000024
HATS-27b  248111245 0.0909 0.0032 0.0028  7.32 0.44 0.74 2458619.84560 0.00130 0.00140 0.360 0.200 0.220  4.6370380 0.0000120 0.0000120
WASP-93b  240681314 0.1022 0.0058 0.0146  6.73 1.97 0.69 2458773.84697 0.00033 0.00033 0.839 0.063 0.230  2.7325321 0.0000017 0.0000018
HATS-41b   53750200 0.0670 0.0061 0.0046 10.43 2.25 2.30 2459253.21210 0.00110 0.00110 0.610 0.180 0.360  4.1936490 0.0000110 0.0000120
HATS-29b  201604954 0.1222 0.0059 0.0059 10.82 0.89 0.67 2458667.04483 0.00071 0.00069 0.521 0.081 0.168  4.6058754 0.0000055 0.0000058
HATS-60b  145750719 0.0742 0.0017 0.0016  7.57 0.27 0.57 2459098.20902 0.00076 0.00082 0.260 0.200 0.160  3.5608320 0.0000280 0.0000290
HAT-P-2b   39903405 0.0691 0.0004 0.0004  9.04 0.19 0.18 2459006.93776 0.00033 0.00035 0.457 0.035 0.040  5.6335152 0.0000034 0.0000034
WASP-97b  230982885 0.1093 0.0007 0.0007  6.32 0.08 0.08 2459112.04778 0.00009 0.00008 0.400 0.032 0.036  2.0727598 0.0000003 0.0000003
HATS-45b    4616072 0.0996 0.0030 0.0021 11.69 0.45 0.93 2459227.01761 0.00060 0.00058 0.280 0.200 0.170  4.1876180 0.0000039 0.0000041
WASP-166b 408310006 0.0518 0.0009 0.0009 11.25 0.38 0.52 2458524.40848 0.00033 0.00031 0.365 0.104 0.089  5.4435397 0.0000031 0.0000030
HATS-63b  178879588 0.1102 0.0047 0.0082  8.69 2.10 0.93 2459197.43113 0.00068 0.00069 0.663 0.092 0.364  3.0566527 0.0000043 0.0000044
HAT-P-31b 320798691 0.0913 0.0015 0.0015  7.94 0.37 0.34 2459020.83833 0.00066 0.00064 0.723 0.032 0.036  5.0054190 0.0000850 0.0000870
TOI-1728b 285048486 0.0709 0.0017 0.0025 12.50 1.37 1.16 2458853.74968 0.00031 0.00031 0.510 0.120 0.270  3.4915160 0.0000520 0.0000510
L168-9b   234994474 0.0233 0.0007 0.0007  8.73 0.61 1.64 2459082.85700 0.00040 0.00039 0.370 0.290 0.230  1.4015272 0.0000011 0.0000012
HATS-46b  281541555 0.1085 0.0029 0.0036 13.37 1.06 0.87 2459112.39408 0.00057 0.00057 0.604 0.070 0.104  4.7423719 0.0000036 0.0000036
TOI-481b  339672028 0.0624 0.0004 0.0003 12.47 0.23 0.36 2459245.15364 0.00027 0.00028 0.230 0.100 0.100 10.3311562 0.0000055 0.0000056
LP714-47b  70899085 0.0754 0.0021 0.0032 15.46 1.51 0.81 2459196.11490 0.00031 0.00030 0.757 0.034 0.079  4.0520340 0.0000018 0.0000020
XO-7b     268403451 0.0941 0.0010 0.0007  6.08 0.12 0.11 2459034.48817 0.00015 0.00015 0.769 0.012 0.013  2.8641413 0.0000040 0.0000040
